#
# This is the defualt corrections file for R00TLe. If no run specific
# file is provided, this file will be used.  Comments can be made with
# the '#' character
#
# Warning!!! If there is a channel in this file that is NOT in the 
# Coresponding Mapfile Evt2Cal/Raw2Cal WILL CRASH!!!!
# 
#The format of this file is
# Channel_Name PulseHeight_Slope PulseHeight_Intercept Timing_Offset
SL01B 0.0653734 0 0
SL01T 0.0571631 0 0
SL02B 0.0605313 0 0
SL02T 0.0632562 0 0
SL03B 0.0574021 0 0
SL03T 0.0620245 0 0
SL04B 0.0635984 0 0
SL04T 0.0651186 0 0
SL05B 0.0609379 0 0
SL05T 0.0630563 0 0
SL06B 0.0600543 0 0
SL06T 0.065555 0 0
SL07B 0.062653 0 0
SL07T 0.08382 0 0
SL08B 0.0689403 0 0
SL08T 0.0596245 0 0
SL09B 0.13394 0 0
SL09T 0.0452408 0 0
SL10B 0.0675959 0 0
SL10T 0.060228 0 0
SL11B 0.0628417 0 0
SL11T 0.057896 0 0
SL12B 0.0498629 0 0
SL12T 0.09136 0 0
SV01B 0.0569219 0 0
SV01T 0.0570067 0 0
SV02B 0.0442486 0 0
SV02T 0.0518501 0 0
SV03B 0.0483263 0 0
SV03T 0.049911 0 0
SV04B 0.0510214 0 0
SV04T 0.0494938 0 0
SV05B 0.0497301 0 0
SV05T 0.0426824 0 0
SV06B 0.0478746 0 0
SV06T 0.051296 0 0
SV07B 0.0564504 0 0
SV08B 0.0491645 0 0
SV08T 0.0481659 0 0
SV09B 0.03616 0 0
SV09T 0.042052 0 0
SV10B 0.0488314 0 0
SV10T 0.0574232 0 0
SV11B 0.0418576 0 0
SV11T 0.0505417 0 0
SV12B 0.0528679 0 0
SV12T 0.0523541 0 0
